PN ID,PNs,Longtitude,Latitude,Frequency,Alternative,
001,準噶爾,81.6911559,43.9457611,1,,
002,西極,72,39,3,,
003,崑,80.915833,35.315833,21,崑嶠,
004,伊犁,80.90709,43.99365,2,,
005,和闐,79.8154921,37.0887716,7,于闐,
006,疏勒,76.0481389999999,39.401385,1,,
007,厄魯,83,46,1,,
008,痕都,78.021112,27.1795328,31,,
009,天竺,77.21,28.61,5,印達爾,
010,北印度,77,31,1,,
011,東印度,90,26,1,,
012,蒙古,106.917222,47.920278,1,,
013,中國,116,40,3,,
014,遠域,,,3,,
015,洪豁爾,57,50,1,,
016,葱嶺,72,39,2,,
017,拔達克山,70.812,36.7348,1,,
018,伽濕彌勒國,76,34.5,3,克什米爾,彌勒
019,葉爾羌,77.245761,38.414217,1,,
020,管城,113.692648,34.749845,1,,
021,舒州,116.581371,30.631136,1,,
022,荊國,112.2414,30.3363,1,,
023,西瀛,,,,,
024,昌城,89.529167,42.852778,1,,
025,羭次山,107.793524,34.677902,1,,
026,玉隴,80.188986,37.073667,2,,
027,蘭陵,117.323725,34.810487,2,,
028,靈川,110.325636,25.409747,1,,
029,泰西,,,,,
